Treatment,Time,Fluoresence
1A,T0,0
1A,T0,0
1A,T0,0
1A,T1,0.652724196
1A,T1,0.367873144
1A,T1,0.5128981
1A,T2,1.535863336
1A,T2,0.932047058
1A,T2,1.242654241
1B,T0,0
1B,T0,0
1B,T0,0
1B,T1,0.509303998
1B,T1,0.233368585
1B,T1,0.385025269
1B,T2,1.237237205
1B,T2,0.570879728
1B,T2,1.035195053
2A,T0,0
2A,T0,0
2A,T0,0
2A,T1,1.008850165
2A,T1,0.66347713
2A,T1,0.355926915
2A,T2,2.678712212
2A,T2,1.35750414
2A,T2,0.839103682
2B,T0,0
2B,T0,0
2B,T0,0
2B,T1,0.366945757
2B,T1,0.133168042
2B,T1,0.135528681
2B,T2,0.833177313
2B,T2,0.292456191
2B,T2,0.397545782
