,Mass (g),Sex,Treatment,Notes
1A_1,4.14,M,No Pollution   No Predators,Nudus
1A_2,2.04,M,No Pollution   No Predators,Largest
1A_3,1.05,M,No Pollution   No Predators,Smallest
1B_1,4.33,F,No Pollution   Yes Predators,Nudus
1B_2,2.74,M,No Pollution   Yes Predators,Largest
1B_3,1.22,M,No Pollution   Yes Predators,Smallest
2A_1,3.65,M,Yes Pollution   No Predators,Nudus
2A_2,1.91,M,Yes Pollution   No Predators,Largest
2A_3,1.42,M,Yes Pollution   No Predators,Smallest
2B_1,4.54,M,Yes Pollution   Yes Predators,Nudus
2B_2,1.25,M,Yes Pollution   Yes Predators,Largest
2B_3,1.13,M,Yes Pollution   Yes Predators,Smallest
